Round,Player,Team,POS1,POS2, Price , Priced at ,, Projection , Diff 
1,Jahrome Hughes,BYE,HLF,," 805,000 ", 60 ,, 53 , (6)
1,Isaiah Papali'i,PEN,EDG,," 619,000 ", 46 ,, 38 , (8)
1,Sean Keppie,SOU,MID,," 387,000 ", 29 ,, 27 , (1)
1,Damien Cook,SGI,HOK,," 743,000 ", 55 ,, 43 , (11)
1,Keaon Koloamatangi,SOU,MID,EDG," 702,000 ", 52 ,, 48 , (3)
1,Jai Arrow,SOU,MID,EDG," 627,000 ", 46 ,, 47 , 1 
1,Jeremy Marshall-King,DOL,HOK,," 598,000 ", 44 ,, 46 , 2 
1,Reuben Garrick,MAN,CTR,WFB," 594,000 ", 44 ,, 49 , 6 
1,Clinton Gutherson,SGI,WFB,," 577,000 ", 43 ,, 43 , 0 
1,Sandon Smith,SYD,HLF,," 277,000 ", 21 ,, 40 , 20 
1,Mitchell Barnett,WAR,MID,EDG," 705,000 ", 52 ,, 52 , 0 
1,Leo Thompson,NEW,MID,," 567,000 ", 42 ,, 47 , 5 
1,Will Penisini,PAR,CTR,," 539,000 ", 40 ,, 46 , 6 
1,Dane Gagai,NEW,CTR,," 675,000 ", 50 ,, 48 , (1)
1,Scott Drinkwater,NQL,WFB,," 640,000 ", 47 ,, 49 , 2 
1,Jamayne Isaako,DOL,WFB,," 539,000 ", 40 ,, 41 , 1 
1,Luke Metcalf,WAR,HLF,," 429,000 ", 32 ,, 47 , 16 
1,Chanel Harris-Tavita,WAR,HLF,," 365,000 ", 27 ,, 36 , 9 
1,James Tedesco,SYD,WFB,," 704,000 ", 52 ,, 55 , 3 
1,Adam Reynolds,BRI,HLF,," 641,000 ", 47 ,, 45 , (2)
1,Jarome Luai,WST,HLF,," 586,000 ", 43 ,, 47 , 4 
1,Adam Doueihi,WST,HLF,CTR," 476,000 ", 35 ,, 34 , (1)
1,Hamish Stewart,SGI,MID,," 257,000 ", 19 ,, 25 , 6 
1,Jordan Riki,BRI,EDG,," 563,000 ", 42 ,, 45 , 3 
1,Sam McIntyre,NQL,EDG,MID," 437,000 ", 32 ,, 34 , 2 
1,William Kennedy,CRO,WFB,," 396,000 ", 29 ,, 35 , 6 
1,Lachlan Hubner,SOU,MID,," 266,000 ", 20 ,, 33 , 14 
1,Jacob Preston,CBY,EDG,," 682,000 ", 51 ,, 59 , 8 
1,Shawn Blore,BYE,EDG,," 582,000 ", 43 ,, 43 , (0)
1,Daniel Saifiti,DOL,MID,," 456,000 ", 34 ,, 45 , 11 
1,Coen Hess,NQL,MID,EDG," 475,000 ", 35 ,, 25 , (10)
1,Lehi Hopoate,MAN,WFB,," 508,000 ", 38 ,, 40 , 3 
1,Jackson Ford,WAR,EDG,," 604,000 ", 45 ,, 37 , (8)
1,Daniel Tupou,SYD,WFB,," 513,000 ", 38 ,, 38 , 0 
1,Joseph Tapine,CAN,MID,," 700,000 ", 52 ,, 56 , 4 
1,Liam Martin,PEN,EDG,," 534,000 ", 40 ,, 39 , 0 
1,Blake Steep,SYD,EDG,," 261,000 ", 19 ,,,
1,Samuel Stonestreet,CRO,WFB,," 435,000 ", 32 ,, 36 , 4 
1,Dylan Edwards,PEN,WFB,," 720,000 ", 53 ,, 51 , (2)
1,Harry Grant,BYE,HOK,," 711,000 ", 53 ,, 53 , 0 
1,Jake Trbojevic,MAN,MID,," 596,000 ", 44 ,, 43 , (1)
1,Tom Trbojevic,MAN,WFB,," 702,000 ", 52 ,, 55 , 3 
1,Luke Brooks,MAN,HLF,," 554,000 ", 41 ,, 36 , (4)
1,James Schiller,NEW,CTR,WFB," 500,000 ", 37 ,, 38 , 1 
1,Roger Tuivasa-Sheck,WAR,CTR,WFB," 508,000 ", 38 ,, 39 , 1 
1,Jake Averillo,DOL,CTR,," 461,000 ", 34 ,, 34 , 0 
1,Toafofoa Sipley,MAN,MID,," 447,000 ", 33 ,, 30 , (3)
1,Kulikefu Finefeuiaki,DOL,EDG,," 409,000 ", 30 ,, 30 , 0 
1,Phoenix Crossland,NEW,HOK,," 393,000 ", 29 ,, 38 , 9 
1,Jacob Liddle,SGI,HOK,," 708,000 ", 52 ,, 17 , (35)
1,Josh Papalii,CAN,MID,," 503,000 ", 37 ,, 32 , (5)
1,Harrison Edwards,NQL,MID,," 380,000 ", 28 ,,,
1,Trent Loiero,BYE,MID,EDG," 590,000 ", 44 ,, 38 , (5)
1,Jeral Skelton,WST,WFB,," 499,000 ", 37 ,, 40 , 3 
1,Jack Williams,PAR,MID,EDG," 504,000 ", 37 ,, 45 , 8 
1,Mark Nicholls,DOL,MID,," 482,000 ", 36 ,, 35 , (0)
1,Mat Croker,NEW,MID,," 391,000 ", 29 ,, 20 , (8)
1,Sean O'Sullivan,DOL,HLF,," 453,000 ", 34 ,,,
1,Cory Paix,BRI,HOK,HLF," 311,000 ", 23 ,, 33 , 10 
1,Morgan Smithies,CAN,MID,," 608,000 ", 45 ,, 44 , (1)
1,Ben Trbojevic,MAN,EDG,CTR," 414,000 ", 31 ,, 33 , 3 
1,Chad Townsend,SYD,HLF,," 448,000 ", 33 ,, 39 , 6 
1,Erin Clark,WAR,HOK,MID," 477,000 ", 35 ,, 41 , 6 
1,Kai O'Donnell,NQL,EDG,," 250,000 ", 19 ,,,
1,Reece Robson,NQL,HOK,," 636,000 ", 47 ,, 50 , 3 
1,Kyle Flanagan,SGI,HLF,," 433,000 ", 32 ,, 39 , 7 
1,Mark Nawaqanitawase,SYD,WFB,CTR," 361,000 ", 27 ,, 40 , 13 
1,Luciano Leilua,SGI,EDG,," 554,000 ", 41 ,, 44 , 3 
1,Scott Sorensen,PEN,MID,EDG," 500,000 ", 37 ,, 42 , 5 
1,Daine Laurie,PEN,WFB,," 423,000 ", 31 ,, 5 , (26)
1,Viliami Vailea,NQL,CTR,," 385,000 ", 29 ,, 28 , 0 
1,Dominic Young,SYD,WFB,," 569,000 ", 42 ,, 42 , -   
1,Will Warbrick,BYE,WFB,," 434,000 ", 32 ,, 31 , (1)
1,Lachlan Ilias,SGI,HLF,," 395,000 ", 29 ,, 36 , 7 
1,Ronald Volkman,PAR,HLF,," 381,000 ", 28 ,,,
1,Taine Tuaupiki,WAR,WFB,," 435,000 ", 32 ,, 32 , 0 
1,Zach Dockar-Clay,SYD,HOK,," 251,000 ", 19 ,, 15 , (4)
1,Ronaldo Mulitalo,CRO,WFB,," 525,000 ", 39 ,, 39 , 0 
1,Mitch Kenny,PEN,HOK,," 513,000 ", 38 ,, 40 , 1 
1,Kurt Mann,CBY,MID,," 491,000 ", 36 ,, 30 , (6)
1,Jaeman Salmon,CBY,MID,EDG," 453,000 ", 34 ,, 14 , (19)
1,Marcelo Montoya,CBY,CTR,WFB," 363,000 ", 27 ,,,
1,Braydon Trindall,CRO,HLF,," 513,000 ", 38 ,, 46 , 8 
1,Reuben Cotter,NQL,MID,," 652,000 ", 48 ,, 51 , 3 
1,Ali Leiataua,WAR,CTR,WFB," 481,000 ", 36 ,, 40 , 4 
1,Tyran Wishart,BYE,HLF,," 539,000 ", 40 ,, 25 , (14)
1,Kurt Capewell,WAR,EDG,," 532,000 ", 39 ,, 40 , 1 
1,Junior Paulo,PAR,MID,," 539,000 ", 40 ,, 42 , 2 
1,Jack Wighton,SOU,HLF,CTR," 539,000 ", 40 ,, 34 , (6)
1,Toby Sexton,CBY,HLF,," 491,000 ", 36 ,, 36 , 0 
1,Deine Mariner,BRI,CTR,WFB," 488,000 ", 36 ,,,
1,Campbell Graham,SOU,CTR,," 568,000 ", 42 ,, 41 , (1)
1,Gehamat Shibasaki,BRI,CTR,," 334,000 ", 25 ,, 37 , 13 
1,Ben Hunt,BRI,HLF,," 675,000 ", 50 ,, 49 , (1)
