name,price,Proj,$/pt,OVERDIFF,BE,weekdiff,name,,,
JACOB SAIFITI rd17,$446 ,41,33,8.2,22,19,JACOB,SAIFITI,JACOB SAIFITI,Jacob Saifiti
pheonix crossland,$515 ,36.5,38,-1.3,26,10.5,pheonix,crossland,pheonix crossland,Phoenix Crossland
LEO THOMPSON rd19,$611 ,50.4,45,5.4,47,3.3,LEO,THOMPSON,LEO THOMPSON,Leo Thompson
kai pearce-paul,$708 ,53.7,52,1.7,64,-10.3,kai,pearce-paul,kai pearce-paul,Kai Pearce-Paul
DYLAN LUCAS,$722 ,54.5,53,1.4,56,-1.5,DYLAN,LUCAS,DYLAN LUCAS,Dylan Lucas
TYSON FRIZELL,$465 ,40.7,34,6.5,49,-8.3,TYSON,FRIZELL,TYSON FRIZELL,TYSON FRIZELL
thomas cant,$455 ,33,33,-0.5,43,-10,thomas,cant,thomas cant,thomas cant
mat croker,$530 ,26.9,39,-12.1,40,-13.1,mat,croker,mat croker,Mat Croker
Brodie jones,$449 ,14.3,33,-18.7,22,-7.7,Brodie,jones,Brodie jones,Brodie Jones
JAYDEN BRAILEY,$375 ,22.4,28,-5.2,1,21.4,JAYDEN,BRAILEY,JAYDEN BRAILEY,Jayden Brailey
HAMISO TABUAI-FIDOW,$648 ,43.5,48,-4.2,55,-11.6,HAMISO,TABUAI-FIDOW,HAMISO TABUAI-FIDOW,Hamiso Tabuai-Fidow
Max Feagai/junior tupou??,$378 ,31.6,28,3.8,30,1.6,Max,Feagai/junior,Max Feagai/junior,#N/A
jake averillo,$460 ,34,34,0.1,30,4,jake,averillo,jake averillo,Jake Averillo
HERBIE FARNWORTH,$839 ,54.5,62,-7.2,47,7.5,HERBIE,FARNWORTH,HERBIE FARNWORTH,Herbie Farnworth
JAMAYNE ISAAKO,$544 ,41,40,1,35,6,JAMAYNE,ISAAKO,JAMAYNE ISAAKO,Jamayne Isaako
Isaiya Katoa,$754 ,56.1,55,0.6,71,-14.9,Isaiya,Katoa,Isaiya Katoa,Isaiya Katoa
Kodi Nikorima,$537 ,34.8,39,-4.7,19,15.8,Kodi,Nikorima,Kodi Nikorima,Kodi Nikorima
felise kaufusi rd19,$362 ,33.6,27,7,34,-0.4,felise,kaufusi,felise kaufusi,Felise Kaufusi
JMK,$531 ,43.6,39,4.5,56,-12.5,JMK,,JMK,Jeremy Marshall-King
FRANCIS MOLO,$428 ,31.9,31,0.4,30,1.9,FRANCIS,MOLO,FRANCIS MOLO,Francis Molo
oryn keeley,$314 ,30.6,23,7.5,12,18.6,oryn,keeley,oryn keeley,oryn keeley
kulikefu finefuiaki,$507 ,41.3,37,4.1,40,1.3,kulikefu,finefuiaki,kulikefu finefuiaki,Kulikefu Finefeuiaki
kurt donoghoe,$555 ,48.8,41,7.9,22,26.8,kurt,donoghoe,kurt donoghoe,kurt donoghoe
MARK NICHOLLS,$411 ,34.2,30,4,37,-2.8,MARK,NICHOLLS,MARK NICHOLLS,Mark Nicholls
Connoly lemuelu,$486 ,33.1,36,-2.6,38,-4.9,Connoly,lemuelu,Connoly lemuelu,Connelly Lemuelu
josh kerr rd17,$399 ,24.7,29,-4.6,36,-11.3,josh,kerr,josh kerr,josh kerr
ray stone,$443 ,25.9,33,-6.7,32,-6.1,ray,stone,ray stone,ray stone
CNK,$604 ,41.1,44,-3.3,28,13.1,CNK,,CNK,Charnze Nicoll-Klokstad
roger tuivasa-sheck,$504 ,39.5,37,2.4,39,0.5,roger,tuivasa-sheck,roger tuivasa-sheck,Roger Tuivasa-Sheck
adam pompey,$341 ,28.4,25,3.4,40,-11.6,adam,pompey,adam pompey,adam pompey
rocco berry rd17,$382 ,35.6,28,7.5,41,-5.5,rocco,berry,rocco berry,rocco berry
dallin watene-zel rd22,$271 ,37.9,20,18,35,2.9,dallin,watene-zel,dallin watene-zel,Dallin Watene-Zelezniak
chanel harris-tavita,$480 ,35.6,35,0.3,33,2.6,chanel,harris-tavita,chanel harris-tavita,Chanel Harris-Tavita
luke metcalf rd17?,$723 ,53.4,53,0.2,55,-1.6,luke,metcalf,luke metcalf,Luke Metcalf
jackson ford,$652 ,45.6,48,-2.3,40,5.6,jackson,ford,jackson ford,Jackson Ford
WAYDE EGAN,$593 ,49,44,5.4,59,-10,WAYDE,EGAN,WAYDE EGAN,Wayde Egan
james fisher-harris,$568 ,51,42,9.2,40,11,james,fisher-harris,james fisher-harris,James Fisher-Harris
leka halasima,$516 ,27,38,-10.9,40,-13,leka,halasima,leka halasima,Leka Halasima
KURT CAPEWELL rd17,$404 ,41.3,30,11.6,41,0.3,KURT,CAPEWELL,KURT CAPEWELL,Kurt Capewell
erin clark,$787 ,54.2,58,-3.7,61,-6.9,erin,clark,erin clark,erin clark
TE MAIRE MARTIN,$240 ,12.6,18,-5,24,-11.4,TE,MAIRE,TE MAIRE,Te Maire Martin
jacob laban,$352 ,30.4,26,4.5,1,29.4,jacob,laban,jacob laban,jacob laban
demetric vaimauga,$420 ,27,31,-3.9,16,11,demetric,vaimauga,demetric vaimauga,Demitric Vaimauga
marata niukore rd19,$409 ,38.5,30,8.4,44,-5.5,marata,niukore,marata niukore,Marata Niukore
