name,price,Proj,$/pt,OVERDIFF,BE,weekdiff,name,,,
josh addo-carr,$462 ,37.1,34,3.2,53,-15.9,josh,addo-carr,josh addo-carr,Josh Addo-Carr
dylan brown,$538 ,44.2,40,4.7,62,-17.8,dylan,brown,dylan brown,Dylan Brown
MITCHELL MOSES rd20,$635 ,45,47,-1.7,57,-12,MITCHELL,MOSES,MITCHELL MOSES,Mitchell Moses
jack williams,$641 ,44,47,-3.1,46,-2,jack,williams,jack williams,Jack Williams
ryley smith rd20,$550 ,37.6,40,-2.8,43,-5.4,ryley,smith,ryley smith,Ryley Smith
JUNIOR PAULO,$629 ,49.3,46,3.1,32,17.3,JUNIOR,PAULO,JUNIOR PAULO,Junior Paulo
Kelma Tuilagi,$435 ,36.6,32,4.6,11,25.6,Kelma,Tuilagi,Kelma Tuilagi,Kelma Tuilagi
kitione kautoga,$538 ,38.2,40,-1.3,40,-1.8,kitione,kautoga,kitione kautoga,Kitione Kautoga
J'MAINE HOPGOOD,$547 ,42.8,40,2.5,39,3.8,J'MAINE,HOPGOOD,J'MAINE HOPGOOD,J'maine Hopgood
matt doorey,$256 ,24.7,19,5.9,21,3.7,matt,doorey,matt doorey,matt doorey
jordan samrani,$389 ,21.3,29,-7.4,39,-17.8,jordan,samrani,jordan samrani,jordan samrani
joash papalii,$244 ,17.1,18,-0.8,15,2.1,joash,papalii,joash papalii,joash papalii
dylan walker,$478 ,33.3,35,-1.8,33,0.3,dylan,walker,dylan walker,Dylan Walker
kaeo weekes,$440 ,37.1,32,4.8,49,-11.9,kaeo,weekes,kaeo weekes,Kaeo Weekes
jed stuart,$240 ,27.7,18,10,9,18.7,jed,stuart,jed stuart,jed stuart
SEBASTIAN KRIS,$383 ,33.2,28,5,25,8.2,SEBASTIAN,KRIS,SEBASTIAN KRIS,Sebastian Kris
MATT TIMOKO,$484 ,40.3,36,4.7,43,-2.7,MATT,TIMOKO,MATT TIMOKO,Matthew Timoko
xavier savage,$326 ,27.7,24,3.7,44,-16.4,xavier,savage,xavier savage,Xavier Savage
ethan strange,$524 ,38.7,39,0.2,30,8.7,ethan,strange,ethan strange,Ethan Strange
JAMAL FOGARTY,$680 ,54.4,50,4.4,66,-11.6,JAMAL,FOGARTY,JAMAL FOGARTY,Jamal Fogarty
morgan smithies,$560 ,41.6,41,0.4,46,-4.4,morgan,smithies,morgan smithies,Morgan Smithies
tom starling,$594 ,48.1,44,4.4,42,6.1,tom,starling,tom starling,Tom Starling
JOSEPH TAPINE,$721 ,58.3,53,5.3,60,-1.7,JOSEPH,TAPINE,JOSEPH TAPINE,Joseph Tapine
HUDSON YOUNG,$777 ,56.1,57,-1,81,-24.9,HUDSON,YOUNG,HUDSON YOUNG,Hudson Young
ZAC HOSKING,$563 ,50.4,41,9,50,0.4,ZAC,HOSKING,ZAC HOSKING,Zac Hosking
corey horsburgh,$630 ,54.1,46,7.7,53,1.1,corey,horsburgh,corey horsburgh,corey horsburgh
simi sasagi,$340 ,24.1,25,-0.9,18,6.1,simi,sasagi,simi sasagi,simi sasagi
josh papali'i,$460 ,27.2,34,-6.6,12,15.2,josh,papali'i,josh papali'i,Josh Papalii
Ata Mariota,$342 ,29.8,25,4.6,20,9.8,Ata,Mariota,Ata Mariota,Ata Mariota
owen pattie,$245 ,13.5,18,-4.5,16,-2.5,owen,pattie,owen pattie,Owen Pattie
DYLAN EDWARDS,$524 ,49.8,39,11.2,48,1.8,DYLAN,EDWARDS,DYLAN EDWARDS,Dylan Edwards
tom jenkins,$563 ,32.4,41,-9,20,12.4,tom,jenkins,tom jenkins,Thomas Jenkins
casey mclean,$450 ,38.7,33,5.6,28,10.7,casey,mclean,casey mclean,casey mclean
IZACK TAGO,$382 ,35.6,28,7.5,44,-8.5,IZACK,TAGO,IZACK TAGO,Izack Tago
BRIAN TO'O,$568 ,47.4,42,5.6,56,-8.6,BRIAN,TO'O,BRIAN TO'O,Brian To'o
Blaize Talagi,$420 ,35.6,31,4.7,33,2.6,Blaize,Talagi,Blaize Talagi,Blaize Talagi
NATHAN CLEARY,$896 ,68.8,66,2.9,67,1.8,NATHAN,CLEARY,NATHAN CLEARY,Nathan Cleary
isaiah papalii,$560 ,35.9,41,-5.3,39,-3.1,isaiah,papalii,isaiah papalii,Isaiah Papali'i
